data:max_stress_xx:value,data:max_stress_yy:value,data:max_vonmises_stress:value,data:p1_stress_xx:value,data:p1_stress_yy:value,data:p1_vonmises_stress:value,data:p2_stress_xx:value,data:p2_stress_yy:value,data:p2_vonmises_stress:value,data:p3_stress_xx:value,data:p3_stress_yy:value,data:p3_vonmises_stress:value,data:p4_stress_xx:value,data:p4_stress_yy:value,data:p4_vonmises_stress:value,data:p5_stress_xx:value,data:p5_stress_yy:value,data:p5_vonmises_stress:value,data:p6_stress_xx:value,data:p6_stress_yy:value,data:p6_vonmises_stress:value,data:p7_stress_xx:value,data:p7_stress_yy:value,data:p7_vonmises_stress:value,data:p8_stress_xx:value,data:p8_stress_yy:value,data:p8_vonmises_stress:value,data:p9_stress_xx:value,data:p9_stress_yy:value,data:p9_vonmises_stress:value
10500.70826,18432.96438,25544.0681,-1057.878931,2870.55789,3535.920738,1153.640882,9235.986315,8678.592209,-2.766957683,10202.00802,10203.46886,-0.063836199,10202.81777,10202.87351,0.009041929,10199.762,10199.75761,0.064691085,10196.72267,10196.66705,-2.697841264,10201.92091,10203.34653,1138.083132,9259.586326,8706.65627,-1063.964471,2864.445059,3535.486774
11544.69558,21267.3943,29058.27583,-1009.100736,3468.861834,4094.423302,1530.255796,8266.982796,7585.059406,-6.909604168,9551.091481,9553.990324,0.090731678,9522.101349,9522.021656,-0.255797143,9527.515969,9527.640766,-0.165818379,9534.183726,9534.326763,-6.985923604,9550.729451,9553.683958,1517.709782,8286.145403,7606.735563,-1014.957046,3463.873148,4095.244938
11326.71912,20516.96645,28231.53797,-1073.23453,3320.817368,3991.877892,1393.953597,8838.471158,8193.935203,-6.235911343,9962.498644,9965.583034,0.058398255,9950.49422,9950.444139,0.035947318,9953.244317,9953.225817,-0.065219225,9956.342925,9956.399995,-6.256086405,9962.576567,9965.66881,1399.064381,8830.516728,8184.58828,-1070.895094,3322.351668,3991.159874
11458.03215,21160.25969,28915.0722,-1037.767558,3400.005261,4047.733162,1464.295001,8452.099338,7786.841835,-7.449047494,9655.778304,9659.169865,-0.240528465,9648.277152,9648.486002,-0.08264894,9637.463658,9637.502861,0.196535871,9627.667017,9627.496587,-7.388653863,9656.476739,9659.80678,1492.450949,8407.700595,7735.73508,-1024.49852,3408.800065,4043.445559
11425.69964,21182.64484,28901.88861,-1041.054844,3356.241989,4005.31574,1442.040608,8501.455094,7843.811902,-7.378897155,9688.966737,9692.3911,0.570360797,9645.264641,9644.769928,-0.03512541,9672.511966,9672.527863,-0.603403353,9700.633306,9701.157069,-7.364930758,9688.517243,9691.951564,1422.755623,8530.967392,7877.563172,-1050.899072,3348.77004,4007.06867
10765.0276,18938.99726,26232.04518,-1054.887372,3073.832838,3732.033719,1286.314914,8904.89738,8298.618798,-5.038986371,9980.799446,9983.338161,-0.017594912,9975.221472,9975.237287,0.030023791,9974.346404,9974.331221,0.015554064,9973.653073,9973.64015,-5.033146179,9980.783332,9983.319525,1284.928981,8907.119671,8301.245063,-1055.495453,3073.478203,3732.255025
10997.90422,19617.83318,27059.64965,-1048.15813,3205.943899,3858.797264,1363.663339,8667.33856,8034.374756,-6.558400415,9801.56869,9804.742004,0.07607559,9786.563152,9786.497767,0.026657598,9790.207819,9790.19366,-0.088789154,9794.348448,9794.426067,-6.494926355,9801.252866,9804.404052,1346.07598,8694.606792,8065.997685,-1055.959916,3199.779914,3860.100032
11729.73299,21854.36565,29769.98236,-993.655291,3548.558296,4164.707679,1578.150548,8175.539742,7480.831405,-6.13348423,9502.961835,9505.304878,0.102602884,9469.043948,9468.952335,-0.465745017,9475.713571,9475.94244,-0.208683148,9483.697351,9483.876032,-5.919315512,9503.492717,9505.697904,1595.42218,8148.382438,7449.917649,-985.348814,3554.106774,4161.769229
11072.44027,20000.89989,27525.61957,-1057.162334,3237.964748,3898.798495,1365.302892,8688.925836,8054.020737,-6.616795143,9807.408312,9810.614233,0.023227321,9794.899952,9794.880314,0.027468864,9796.050245,9796.035653,-0.036049369,9797.699937,9797.731713,-6.526814661,9806.900069,9810.077302,1337.311854,8733.261349,8105.439803,-1069.972852,3228.649347,3901.717923
11516.90165,21101.39458,28924.80346,-1041.664319,3453.274882,4103.934637,1486.437213,8491.986832,7819.137778,-7.585685853,9706.169347,9709.648889,-0.061779957,9690.605417,9690.65899,-0.070742177,9688.185637,9688.218855,0.019503329,9686.770726,9686.753779,-7.516189099,9707.686812,9711.067336,1548.386105,8397.356264,7710.213292,-1012.998383,3474.702506,4096.925226
